Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-03 00:02:01,0,43.33,2016
2020-08-03 00:02:11,0,43.34,2016
2020-08-03 00:02:21,0,43.63,2006
2020-08-03 00:02:31,0,43.37,2015
2020-08-03 00:02:41,0,43.37,2015
2020-08-03 00:02:51,4,43.24,2020
2020-08-03 00:03:01,0,43.21,2020
2020-08-03 00:03:11,0,43.22,2020
2020-08-03 00:03:21,0,43.33,2017
2020-08-03 00:03:31,0,43.33,2017
2020-08-03 00:03:41,0,43.65,2005
2020-08-03 00:03:51,0,43.34,2017
2020-08-03 00:04:01,7,43.88,1997
2020-08-03 00:04:11,87,45.18,1951
2020-08-03 00:04:21,10,44.43,1978
2020-08-03 00:04:31,19,44,1993
2020-08-03 00:04:41,14,44.09,1989
2020-08-03 00:04:51,14,44.69,1969
2020-08-03 00:05:01,2,48.91,1818
2020-08-03 00:05:11,0,45.37,1944
2020-08-03 00:05:21,0,45.22,1949
2020-08-03 00:05:31,2,45,1957
2020-08-03 00:05:41,0,44.98,1958
2020-08-03 00:05:51,0,44.98,1957
2020-08-03 00:06:01,0,44.99,1958
2020-08-03 00:06:11,0,44.98,1958
2020-08-03 00:06:21,0,44.97,1958
2020-08-03 00:06:31,5,45.66,1934
2020-08-03 00:06:41,0,45.09,1954
2020-08-03 00:06:51,2,45.02,1956
2020-08-03 00:07:01,0,45.13,1952
2020-08-03 00:07:11,0,45.13,1952
2020-08-03 00:07:21,0,45.1,1953
2020-08-03 00:07:31,0,44.83,1963
2020-08-03 00:07:41,0,44.8,1965
2020-08-03 00:07:51,0,44.77,1965
2020-08-03 00:08:01,0,44.77,1965
2020-08-03 00:08:11,0,44.75,1966
2020-08-03 00:08:21,0,44.74,1966
2020-08-03 00:08:31,7,44.65,1969
2020-08-03 00:08:41,0,44.67,1969
2020-08-03 00:08:51,0,45,1958
2020-08-03 00:09:01,0,44.67,1969
2020-08-03 00:09:11,0,44.67,1969
2020-08-03 00:09:21,2,44.61,1971
2020-08-03 00:09:31,0,44.59,1971
2020-08-03 00:09:41,0,44.58,1972
2020-08-03 00:09:51,2,44.58,1972
2020-08-03 00:10:01,0,44.57,1973
2020-08-03 00:10:11,0,44.56,1973
2020-08-03 00:10:21,5,44.57,1972
2020-08-03 00:10:31,0,44.52,1974
